date,description,amount,account_type,location
2024-01-15,"STARBUCKS COFFEE #1234",4.85,debit,"San Francisco, CA"
2024-01-15,"SHELL OIL #5678",-45.20,credit,"San Francisco, CA"
2024-01-16,"AMAZON.COM AMZN.COM/BILL",-129.99,credit,"Online"
2024-01-16,"WHOLE FOODS MARKET #789",-87.42,debit,"San Francisco, CA"
2024-01-17,"UBER RIDE 01/17",-15.30,credit,"San Francisco, CA"
2024-01-17,"NETFLIX STREAMING",-15.49,credit,"Online"
2024-01-18,"MCDONALD'S #3456",-12.45,debit,"San Francisco, CA"
2024-01-18,"TARGET STORE T-1234",-68.90,debit,"San Francisco, CA"
2024-01-19,"SALARY DEPOSIT",3500.00,direct_deposit,"Direct Deposit"
2024-01-19,"PG&E UTILITY BILL",-125.67,autopay,"San Francisco, CA"
2024-01-20,"CVS PHARMACY #9876",-23.45,debit,"San Francisco, CA"
2024-01-20,"CHASE BANK ATM FEE",-3.00,debit,"San Francisco, CA"
2024-01-21,"LYFT RIDE 01/21",-18.75,credit,"San Francisco, CA"
2024-01-21,"SAFEWAY #5432",-55.80,debit,"San Francisco, CA"
2024-01-22,"APPLE.COM/BILL",-9.99,credit,"Online"
2024-01-22,"COMCAST INTERNET",-79.99,autopay,"San Francisco, CA"
2024-01-23,"AMC THEATERS #123",-28.50,credit,"San Francisco, CA"
2024-01-23,"CHIPOTLE #7890",-11.85,debit,"San Francisco, CA"
2024-01-24,"WALGREENS #4567",-15.99,debit,"San Francisco, CA"
2024-01-24,"BEST BUY STORE #890",-299.99,credit,"San Francisco, CA"
2024-01-25,"HILTON HOTELS",-189.00,credit,"San Jose, CA"
2024-01-25,"UNITED AIRLINES",-425.00,credit,"Online"
2024-01-26,"COURSERA EDUCATION",-49.99,credit,"Online"
2024-01-26,"SPOTIFY PREMIUM",-9.99,credit,"Online"
2024-01-27,"TRADER JOES #456",-43.67,debit,"San Francisco, CA"
2024-01-27,"EXXONMOBIL #789",-52.30,credit,"San Francisco, CA"
2024-01-28,"DR SMITH MEDICAL",-150.00,credit,"San Francisco, CA"
2024-01-28,"COSTCO WHOLESALE #123",-156.78,debit,"San Francisco, CA"
2024-01-29,"FREELANCE PAYMENT",850.00,transfer,"Online Transfer"
2024-01-29,"VERIZON WIRELESS",-85.99,autopay,"San Francisco, CA"
2024-01-30,"BARNES NOBLE #567",-34.99,debit,"San Francisco, CA"
2024-01-30,"PIZZA HUT #890",-24.75,debit,"San Francisco, CA"
2024-01-31,"BANK OF AMERICA FEE",-12.00,debit,"San Francisco, CA"
2024-01-31,"DIVIDEND PAYMENT",125.50,investment,"Investment Account"
2024-02-01,"UBER EATS DELIVERY",-19.85,credit,"San Francisco, CA"
2024-02-01,"OFFICE DEPOT #234",-67.80,credit,"San Francisco, CA"
2024-02-02,"REGAL CINEMAS #567",-32.00,credit,"San Francisco, CA"
2024-02-02,"DUNKIN DONUTS #890",-8.50,debit,"San Francisco, CA"
2024-02-03,"HOME DEPOT #345",-89.99,credit,"San Francisco, CA"
2024-02-03,"AT&T WIRELESS",-95.00,autopay,"San Francisco, CA"
2024-02-04,"REFUND - AMAZON",-45.99,refund,"Online"
2024-02-04,"GOOGLE STORAGE",-2.99,credit,"Online"
2024-02-05,"24 HOUR FITNESS",-39.99,autopay,"San Francisco, CA"
2024-02-05,"PANERA BREAD #123",-13.45,debit,"San Francisco, CA"
2024-02-06,"TESLA SUPERCHARGER",-15.80,credit,"San Jose, CA"
2024-02-06,"INSTACART DELIVERY",-78.90,credit,"San Francisco, CA"
2024-02-07,"WELLS FARGO TRANSFER",-500.00,transfer,"Online Transfer"
2024-02-07,"HULU STREAMING",-12.99,credit,"Online"
2024-02-08,"FEDEX OFFICE #456",-23.50,credit,"San Francisco, CA"
2024-02-08,"SUBWAY #789",-9.99,debit,"San Francisco, CA"
2024-02-09,"RENT PAYMENT",-2200.00,autopay,"San Francisco, CA"
2024-02-09,"ZOOM SUBSCRIPTION",-14.99,credit,"Online"
