transaction_id,date,description,amount,payment_mode,category
TXN001,2025-01-15,AMAZON PAY INDIA TXN 12345,1250.5,UPI,Shopping
TXN002,2025-01-15,ZOMATO DELHI RESTAURANT ORDER,450.75,UPI,Food & Dining
TXN003,2025-01-16,SHELL GAS STATION FUEL,2500.0,CARD,Transportation
TXN004,2025-01-16,NETFLIX SUBSCRIPTION MONTHLY,799.0,AUTOPAY,Entertainment
TXN005,2025-01-17,APOLLO PHARMACY MEDICINE,350.25,UPI,Health & Medical
TXN006,2025-01-17,FLIPKART ONLINE SHOPPING,1899.99,UPI,Shopping
TXN007,2025-01-18,UBER RIDE SHARING,180.5,UPI,Transportation
TXN008,2025-01-18,STARBUCKS COFFEE PURCHASE,285.0,CARD,Food & Dining
TXN009,2025-01-19,AIRTEL MOBILE RECHARGE,299.0,UPI,Bills & Utilities
TXN010,2025-01-19,SWIGGY FOOD DELIVERY,320.0,UPI,Food & Dining
TXN011,2025-01-20,SBI ATM WITHDRAWAL,5000.0,ATM,Financial
TXN012,2025-01-20,MCDONALDS FAST FOOD,450.0,CARD,Food & Dining
TXN013,2025-01-21,AJIO CLOTHING SHOPPING,1299.0,UPI,Shopping
TXN014,2025-01-21,SPOTIFY PREMIUM SUBSCRIPTION,99.0,AUTOPAY,Entertainment
TXN015,2025-01-22,OLA CAB BOOKING,250.0,UPI,Transportation
TXN016,2025-01-22,BIGBASKET GROCERY SHOPPING,1850.75,UPI,Food & Dining
TXN017,2025-01-23,HDFC BANK LOAN EMI,15000.0,AUTOPAY,Financial
TXN018,2025-01-23,PARADISE BIRYANI RESTAURANT,650.0,CARD,Food & Dining
TXN019,2025-01-24,JIO FIBER BROADBAND BILL,999.0,AUTOPAY,Bills & Utilities
TXN020,2025-01-24,MYNTRA FASHION SHOPPING,2499.0,UPI,Shopping
TXN021,2025-01-25,IRCTC TRAIN TICKET BOOKING,850.0,UPI,Transportation
TXN022,2025-01-25,DMART GROCERY STORE,1200.5,CARD,Food & Dining
TXN023,2025-01-26,AMAZON PRIME VIDEO SUBSCRIPTION,149.0,AUTOPAY,Entertainment
TXN024,2025-01-26,CVS PHARMACY MEDICINE,425.0,CARD,Health & Medical
TXN025,2025-01-27,MAKEMYTRIP HOTEL BOOKING,3500.0,UPI,Travel
TXN026,2025-01-27,TARGET RETAIL SHOPPING,1899.0,CARD,Shopping
TXN027,2025-01-28,GOOGLE PAY ELECTRICITY BILL,1200.0,UPI,Bills & Utilities
TXN028,2025-01-28,PIZZA HUT RESTAURANT,750.0,UPI,Food & Dining
TXN029,2025-01-29,ICICI BANK CREDIT CARD PAYMENT,8500.0,AUTOPAY,Financial
TXN030,2025-01-29,RELIANCE FRESH GROCERY,950.25,UPI,Food & Dining
TXN031,2025-01-30,APPLE MUSIC SUBSCRIPTION,99.0,AUTOPAY,Entertainment
TXN032,2025-01-30,WALMART SUPERMARKET,2100.0,CARD,Food & Dining
TXN033,2025-01-31,BP PETROL PUMP FUEL,1800.0,CARD,Transportation
TXN034,2025-01-31,BOOKMYSHOW MOVIE TICKETS,600.0,UPI,Entertainment
TXN035,2025-02-01,PAYTM WATER BILL PAYMENT,350.0,UPI,Bills & Utilities
TXN036,2025-02-01,KFC FAST FOOD RESTAURANT,550.0,CARD,Food & Dining
TXN037,2025-02-02,AXIS BANK MUTUAL FUND SIP,5000.0,AUTOPAY,Financial
TXN038,2025-02-02,GROFERS GROCERY DELIVERY,1350.0,UPI,Food & Dining
TXN039,2025-02-03,OYO HOTEL BOOKING,2200.0,UPI,Travel
TXN040,2025-02-03,EBAY ONLINE SHOPPING,899.0,UPI,Shopping
TXN041,2025-02-04,VI MOBILE RECHARGE,199.0,UPI,Bills & Utilities
TXN042,2025-02-04,SUBWAY SANDWICH RESTAURANT,380.0,CARD,Food & Dining
TXN043,2025-02-05,DISNEY PLUS SUBSCRIPTION,499.0,AUTOPAY,Entertainment
TXN044,2025-02-05,FORTIS HOSPITAL MEDICAL,5000.0,CARD,Health & Medical
TXN045,2025-02-06,GOIBIBO FLIGHT BOOKING,8500.0,UPI,Travel
TXN046,2025-02-06,PEPPERFRY FURNITURE SHOPPING,12000.0,UPI,Home & Garden
TXN047,2025-02-07,BSNL LANDLINE PHONE BILL,450.0,AUTOPAY,Bills & Utilities
TXN048,2025-02-07,BURGER KING FAST FOOD,420.0,UPI,Food & Dining
TXN049,2025-02-08,BYJUS EDUCATION COURSE,2999.0,UPI,Education
TXN050,2025-02-08,UNACADEMY LEARNING SUBSCRIPTION,499.0,AUTOPAY,Education
TXN051,2025-02-09,XYZ CORP PAYMENT 789456,125.0,UPI,Other
TXN052,2025-02-09,ABC SERVICES TRANSACTION,89.5,UPI,Other
TXN053,2025-02-10,PAYMENT TO MERCHANT 12345,2500.0,NEFT,Other
TXN054,2025-02-10,UNKNOWN MERCHANT TXN,45.0,UPI,Other
TXN055,2025-02-11,GENERIC PAYMENT PROCESSING,199.0,UPI,Other
